2018 Jan 27 22:13:19  更新测试!
2011 Dec 01 12:02:55  @mozhixu 我的看法是这代人都应该切割，直接抛进历史垃圾堆，绝大多数病入膏肓，没法挽救，让他们自然死亡。
2011 Dec 01 11:55:30  @mozhixu 谈这些太迂远，现在的年轻人根本就不知道或不是很了解你所谓的“事后知识分子们的口水”，粗略知道有64屠城这个事实，因此你这种反思是给89一代知识分子或者你的同龄人看的，还不如直接说北非中东经验。
2011 Dec 01 11:49:50  @tufuwugan 科学概念。
2011 Dec 01 11:49:33  @tufuwugan 笑蜀 这个贱奴愚蠢或者阴险的地方就在于他说的那些判断没有特征事实支持，到底哪些范例/案例/样本证实了推进的存在，跪着造反的有效性，即使偶尔有几起，它们有没有代表性和普遍意义，是不是相反的事实/案例会推翻这种论断，简言之，此类文艺老傻逼根本没有理性意识或社会
2011 Nov 27 16:00:13  @summerdukk 回拜。
2011 Nov 27 13:42:18  MD，就说了这么点话，weibo上的82世账号马上被干掉。
2011 Nov 27 13:40:59  ，表示起码的诚意和改过忏悔意识。如果这三点不动，其他种种，全是欺骗和伪饰，谁信谁是傻逼。
2011 Nov 27 13:40:21  如果真有所谓的政改，三个硬指标：1、言论自由（不删帖不封号、推倒GFW，民间自主办报办刊出版图书，无宣宣禁令），解放思想，允许政治见解上的敌人存在；2、组党结社自由，集会、游行、示威自由，允许付诸行动的政治反对派存在发展；3、释放政治犯，为64遇难者恢复名誉
2011 Nov 26 17:02:10  钱锺书中文笔记目录下载 http://t.co/1XN67JY8 from 豆瓣@  曹溪一勺
2011 Nov 26 16:59:35  @wenyunchao 是没什么大问题，不过我这种文献考证派还是不太能接受，讲究铁证如山，无一字无出处，所以才能经受住无数次围攻而岿然不动。
2011 Nov 26 16:50:52  @wenyunchao 随便脑补不大好吧，老榕没说他花了600万。
2011 Nov 26 16:27:04  @wangzhongxia 他们亦正亦邪，不过总体上来说积极作用大于消极面，我评价不高。
2011 Nov 26 07:20:30  @mozhixu 他依附体制攒了一大堆坛坛罐罐，本来就是党的人，其他种种，我以为跟于建嵘等一样，做姿态两头吃。
2011 Nov 26 07:15:08  @mozhixu 你没注意到MC和我在十大核心纲要里就切割过此人？斯伟江名气不大，我认为见识实际上高过陈有西和贺卫方之流。
2011 Nov 24 19:28:45  @mozhixu @dubinV 这当然是一个解释，还有我觉得是微博江湖地位已经大致排定，很难彻底翻盘变局，于是大家就不会在这上面投入重兵，能维持即可。
2011 Nov 24 19:14:40  @mozhixu 这些傻X就是投机，但押错宝了，年纪轻轻就在身上留下这么大的污点，从体制内捞取大量利益的人比比皆是，比他们智商高的人也比比皆是，可人家为什么不吭气，他们比起宋祖德都差太远。
2011 Nov 24 19:13:33  @mozhixu 我说的联网打怪，在陈光诚、艾未未那里啃不动，因为是与党国整个体制作战，可司马南、吴法天、染香这些个人还没办法？不出意外的话，政治/社会对抗的情绪和方式会越来越激烈，需要一些像他们这样的明显泄愤口，它跟政治局势的全面恶化正相关。
2011 Nov 24 18:55:08  @mozhixu 我觉得你这个论证太弱，就是自费五毛，做到他们那种没廉耻的程度，不是带任务，就是自我炒作，猛摇尾巴期待红墙内抛出剩骨头，而且，他们实际上已经得到了某些利益，比如说到处邀请访谈，在核心党媒上发表文章。
2011 Nov 24 18:49:06  @mozhixu 我偶尔会看看牛博，可没注意到有什么特别带劲的东西，当时对时政也不大关注。
2011 Nov 24 18:38:45  @mozhixu 我对纸媒一直抱有怀疑，我迄今为止读到的最有心智含量的当代汉语文本都来自网络。
2011 Nov 23 15:14:22  @lss007 @lihlii @WuyouLan @huangbin87 @mozhixu 我一直在推特上啊，只是你们这些名人眼光高，看不见我。
2011 Nov 23 15:01:30  《论胡锡进、王文、司马南、吴法天、染香这几个畜生一刀宰了一枪击毙都完全正义正当》  http://t.co/95Jrsa3X
2011 Nov 23 14:44:55  拼将十万头颅血，须把乾坤力挽回。内库烧为锦绣灰，天街踏尽公卿骨。时日曷丧，予及汝皆亡！与一切共毁，目的没有，复仇的致命快感已值得所有付出和牺牲。
2011 Nov 17 13:16:25  @mozhixu 呵呵，还在讨论这些，我觉得推特上不少人得好好研读下MC和我的十三篇。
2011 Nov 17 01:51:17  一党独裁，遍地是灾。千呼万唤，不如街头一站。解散，下台，谢罪，滚蛋！
2011 Nov 13 21:14:43  @mozhixu @flyingpku 这种策略是对的，盯住几个出头鸟轮番猛攻，定点清除，现实生活中做不到（反而是土蚣的办法），但以草民的力量可以在微博这个话语场上完胜。我觉得常盘踞在推特上的人有些过于爱惜羽毛，呆在这里腹诽，却不肯冲到舆论现场贴身肉搏。
2011 Nov 13 21:08:50  @mozhixu 啥意思，这些MC和我阐发得已经足够清楚。
2011 Nov 12 14:30:47  @mozhixu 啧啧，赵楚真的是你老大？
2011 Nov 11 17:20:46  @mozhixu 哈哈，年内冲刺100世。
2011 Nov 09 15:37:51  猪猡知识分子@笑蜀 吃屎言论二十二人汇评 http://t.co/ivFPyHmX
2011 Nov 09 13:02:02  @笑蜀 这舔菊贱狗明面是批评百年革命，其实质是污蔑抹黑一切当下敢于与匪帮政权对抗的平民草民屁民，比如杨佳、钱明奇，潮州、增城、织里农民工，帮政府舆论维稳，中山大学给他点可怜的代课费，他就开始裸奔不要脸。他爸当年没有把他射在墙上冲进下水道实在可惜，留下了这个孽畜。
2011 Nov 09 09:22:22  @mozhixu 呵呵，整风也是我等干的呀，现在没了谁是毛主席，莫总统不管用。我觉得有必要在微博上发起对改良论者的围剿。
2011 Nov 09 09:17:02  我的Google+ （http://t.co/bcmUSry0 ），微博经常被删除，于是把一些可能还有点价值的内容备份到这里。
2011 Nov 09 09:12:16  因此杨佳、钱明奇，潮州、增城、海宁、织里暴动，不是公厕姿势分子嘴里的暴民，而是义士和义军，是最原始也最高级的正义，以杀止杀，以暴制暴。http://t.co/03otZokP
2011 Nov 08 16:58:47  @林岳芳 地址：上海市奉贤区南桥镇贝港南区218号304室 邮编：201400 电话：13148132178
2011 Nov 08 09:14:09  @L5d 不是什么武术的问题，而是正确的思想和观念，以及勇气和胆量，匹夫之怒，拼得一身剐，敢把皇帝拉下马。
2011 Nov 08 09:08:11  @mozhixu 熊伟是个彻头彻尾的傻X，虽然他的故事听起来颇悲壮。
2011 Nov 08 09:00:09  @mozhixu 我本人反对基层人大代表竞选，因为无论结果如何，都是在体系内操作，前提是承认现有统治的合法性，不过网上看到相关消息我也会转发，意义有二，1）它们用行动的方式展示了不满/反对的立场和意志；2）它们常以惨遭打压、监控、拘禁等告终，充分论证了改良理性建设性的不可能。
2011 Nov 07 09:47:53  @mozhixu 呵呵，骂我？我写了很多，赶紧一一接招。
2011 Nov 06 04:38:01  @pearlher @GuiMenTu 没啥好核实，这个黄慧娴经常嘴里跑火车。
2011 Nov 05 07:49:20  @wenyunchao 要看你在weibo fo的是什么人，我混的转世党圈天天都是有关艾胖的各种消息。明星、富商、公知、文人作家自然忌讳谈他。
2011 Nov 04 19:55:47  @mozhixu 呵呵，能有这样的故交，也是够呛，应该早就能闻出来他们身上的臭味及时切割才对。
2011 Nov 04 19:24:54  @mozhixu 这种习惯很不好，要指名道姓地骂。
2011 Nov 02 16:02:30  浏览了一下跟帖，绝大多数人比老贺聪明清醒，我放心了点。老糊涂没得救，他们的唯一归宿和拯救是死亡。
2011 Nov 02 15:48:23  也就是说，在一个严重偏差和错误的话语场里注入貌似的中性客观言论，其实质效果反而成了拉偏架，为虎作伥。这些人太自恋自己那点可怜的智商和拳拳爱国爱民之心（假如真有的话），非要发声，表现自我（ego），可全是建立在无知上的良知。
2011 Nov 02 15:45:34  @mozhixu 可是只要稍微有点智商，就知道这种策略或者话语呈现只能充当迷魂汤、麻醉剂，用虚假期待来误导公众认识，其影响之坏，远大于他们闷声发大财。
2011 Nov 02 15:24:46  也即，你倒退，我激进抗争，对冲这种倒退，你停滞，我激进抗争，推你向前挪一下屁股，你主动改革，我依然是激进抗争，试图加大这种改良改善的程度/步伐。
2011 Nov 02 15:24:30  傻兮兮，呼唤胡温新政是什么策略，不受约束的主权者的意志（而且还是九皇帝的集体意志）什么时候文人学士的温言相劝能感动或者改变，在政治的博弈矩阵里，唯一有效的是可置信的威胁，而不是任何善良愿望与吁请。不论窑洞党的策略如何，是倒退、停滞还是主动改革，平民的抗争颠覆言论都是最优话语策略。
2011 Nov 02 15:19:49  @mozhixu 壮夫而为妻妾跪谏之道，不思彼可取而代也。不管他们是真心这么想，还是一种两面讨好的骑墙策略，都令人鄙视。
2011 Nov 02 15:09:54  @mozhixu 其他还没看到，我去观赏观赏这些自命国师的表演。
2011 Nov 02 15:07:29  @mozhixu 不是纯粹扯淡吗，蚣党极权统治的要诀，就是牢牢把握住权力（以及枪杆），绝不放弃，以实现全面的控制与专政，司法要是能独立，岂不是自断臂膀或者倒持太阿，基层人大代表选举都不敢放松丝毫，还司法独立，痴人说梦。
2011 Nov 02 15:01:02  意淫了30多年，贺自己都经常被蚣匪整肃打压，还依然执迷不悟，这是怎样的一种痴情和神经病，他们这代人，包括什么张鸣、吴稼祥、吴祚来、于建嵘，统统学殖谫陋，见识低下，不值一哂，还不仅仅是政治观点的问题。
2011 Nov 02 14:59:37  @mahavivo 贺卫方此类红小兵（一代）学者一越界谈政治这种宏大主题，就马上丢人现眼，暴露出自己的幼稚和愚蠢，其见识连我20岁出头的foer都不如。
2011 Nov 02 14:58:03  @贺卫方 ：【改革攻略】趁着经济状况较好时，理应推动某些体制性的改革，例如通过财政与人事与同级党政脱钩，以强化司法的独立，让法院能够公正而有效地遏制强权，伸张正义，逐渐走上良性循环，平稳实现社会转型。否则，被某种眼前利益所遮蔽，一味拖延，一旦经济出现严重危机，就真没有机会了。
2011 Nov 02 13:20:56  @xiaobeika 很久都没照相，像我这种男人，又不是陈冠希、释道心，要凭色相搏出位，有啥好看捏？
2011 Nov 02 13:15:12  @xiaobeika 啥意思？
2011 Nov 02 13:01:26  @林2姐：遗憾地说，我连村口长什么样都没看清楚就被推搡出局了。http://t.co/KierYG4K
2011 Nov 02 07:09:44  @mondanite 但丁的《论俗语》我好像见到林国华说在翻译，不知道现在怎样？
2011 Nov 02 05:28:52  @mozhixu 他或许就只能拣几个软柿捏捏伪装智力优越，再就是屄长在嘴里恐吓/恶心来敌，我写过两个长微博骂他，也没见有什么回应，骂初二文化的屠夫和傻X书海倒是很来劲。哈哈，我是一点都不怕他跟我掐架。
2011 Nov 02 05:15:33  肉唐僧越来越不入流，竟然在转发数上大做文章，网上混，写十个帖子只有一个被集中关注太TM正常了，没有铁证，就不要满口胡柴，污蔑栽赃。
2011 Nov 02 04:59:17  @mozhixu 呵呵，你起初的话并没有限定特定平台，而是以墙为分界线。
2011 Nov 02 04:48:39  @mozhixu 一个重要原因是舆论监管审查的投入远远跟不上因为智能手机/电脑的普及带来的网络接入量和接入时间/机会的增多，以前你只能坐在电脑前上网，可这几年，随时随地都能见到有人在用大屏幕手机上网。
2011 Nov 02 04:42:55  @mozhixu 我倒没这么悲观，监管力度的加强斗不过网民日益的大胆，它是一个反向指标，表明无论纸媒还是网络现在越来“肆无忌惮”，于是不得不压制这种势头，中蚣类似的放风就像月经一样，不时会折腾一阵，可最终呢，长时间段看，是越来越松，特别在网络空间。
2011 Nov 02 04:27:07  @mozhixu 这种判断难以成立，据我所知，很多转世党本来就有墙外据点，即使在墙内被严厉追杀，也不过墙内换个地盘或者方式继续玩，墙内的非法区/自由空间/例外状态只会继续扩大，贴身肉搏不仅体现在社会（公民）行动上，也体现在言论审查-自由上。
2011 Nov 02 04:16:44  @mozhixu 谢谢，呵呵，我现在骂人都收敛很多了，最狠的是天涯时期，其次豆瓣，再次微博。
2011 Nov 02 04:13:37  TMD一帮神经病，郭100、李宇不大清楚，刘萍是下岗女工，且被赤匪长久欺压剥夺，秀才江湖经济状况也很窘迫，他自己多次在微博上披露过，他们在第一线努力、冒险，募捐点小钱都有人来叽叽歪歪。详见：http://t.co/J1OyujEG
2011 Nov 02 04:12:29  @mozhixu 国粪就是毛粉的翻转镜像，名义上水火不容、势不两立，只是供的神不一样，在思维方式上却没什么本质不同。
2011 Nov 02 04:07:25  @肉唐僧 这个逼蠢得要死还TMD振振有词。详见：http://t.co/auRewoJQ
2011 Nov 02 04:05:41  不知道怎么会有这么二的主意，交罚款，网友捐资，从逻辑上不是说承认了这种政府构陷掠夺私人财产的合法性，况且，钱给了他们，马上支付给冻尸骨的流氓来殴打囚禁陈光诚和探视网友。详见：http://t.co/fcGMZfkN
2011 Nov 02 04:01:42  所以是流氓黑帮火拼呀，成王败寇，什么“统治国家的政治正当性”完全TMD扯淡，国民党版的暴力屠杀维稳而已，中蚣的专制残暴很多都是从小哥KMT那里学来的，不过进化得更流氓无耻肮脏黑暗，因此蒋小匪干不过毛大匪。
2011 Nov 02 04:01:23  瞧书海这个sb，为蒋匪舔菊恶心到了何种程度，“清党即意味着统治国家的政治正当性”，这认识水平还有脸天天奢谈民主宪政，如果它成立，是否意味着斯大林清党肃反“即意味着统治国家的政治正当性”，六四坦克屠城“即意味着统治国家的政治正当性”。
2011 Nov 02 03:59:50  @kunlunfeng 此类蠢蛋守着几条陈腐的教条，却没有对具体情境的体察，本来想表演姿势，实际上丢尽脸面。
2011 Nov 01 12:53:38  @mozhixu 书海叶隐两个傻逼我都骂过，他们也骂我，但基本属于无耻污蔑栽赃，被我驳斥后装聋作哑，对于屠夫，我以前的评价是太过正确而近伪，他主要是在做实事，认识水平、理论修养、写作能力等置之勿论。
2011 Oct 31 11:20:48  @pearlher 其他因素，像瓜分维稳经费、地方官僚报复，都很次要，甚至可以忽略不计。——把我上面的话翻译成英文即可。
2011 Oct 31 11:19:23  @pearlher 光诚案发酵至今，迟迟没有进展或者解决：1，既然国际关注，就硬撑着装逼，内政不容干涉；2，对照旧例，绑架本国公民作为外交谈判的大杀器；3，将它做成典型专政案例，给国内自由民主斗士看，杀鸡骇猴；4，在可控条件下，牺牲陈光诚做残酷维稳压力测试。
2011 Oct 31 00:03:21  @mozhixu 苏振华的帖子也有逻辑/学理上的问题，比如什么道德批评不能伤害具体的个人，私人行为不可批评，纯属瞎扯。
2011 Oct 30 23:53:47  @mozhixu 蠢人草木皆兵，MC和我要是不出于自愿，谁能发动？此前没骂他们，只是因为不认识他们，不熟悉他们，甚至没听说过，到我们转战微博，于是短兵相接了而已。
2011 Oct 30 23:49:52  @mozhixu @hukuikui 谢谢推荐，我很早就注册了twitter，不过此前一直没有说话。
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
2011 Oct 30 10:18:21  分裂的世界——MC、vivo微博13篇 http://t.co/fQA7eXtW
